lat,lon,alt,volt
0,0,0,0
0,0,0,0
867.454,248.787,-1.51145,40.8027
227.997,130.715,-0.832268,40.2296
221.638,163.937,-0.882523,42
674.481,631.641,-4.42093,34.278
689.042,717.358,-3.67587,25.7647
461.573,480.122,-1.46922,36.3418
108.664,485.527,-0.85466,20.1295
377.613,358.173,-0.531654,40.3176
396.593,49.2452,0.632103,20.5554
500.46,282.583,0.541595,20.9691
435.061,413.308,-0.247864,24.9961
262.349,716.828,-4.45589,22.3999
994.57,726.768,-3.10677,20.4336
185.13,195.652,-0.134995,26.8935
583.574,779.107,-4.11806,21.1813
653.231,66.7305,0.366402,24.6361
629.67,504.476,-4.04719,39.6276
820.482,899.306,-3.89426,22.6791
239.305,328.875,-0.322212,31.1189
596.203,289.923,-1.59517,28.647
